Datetime,City,Temperature_C,Feels_Like_C,Humidity_%,Wind_kph,Pressure_hPa,UV_Index,Weather_Condition,Weather_Icon,Sunrise,Sunset
2025-07-26 08:00:00,Athens,33.9,32.8,40,5.4,1031.2,7,Hazy,🌫️,06:30:00,20:00:00
2025-07-26 09:00:00,Athens,28.5,27.2,60,4.7,1019.6,8,Cloudy,☁️,06:30:00,20:00:00
2025-07-26 10:00:00,Athens,27.2,26.7,43,20.3,994.2,5,Hazy,🌫️,06:30:00,20:00:00
2025-07-26 11:00:00,Athens,15.4,14.4,59,12.9,1027.7,8,Rainy,🌧️,06:30:00,20:00:00
2025-07-26 12:00:00,Athens,24.5,23.8,51,20.1,985.9,7,Snowy,❄️,06:30:00,20:00:00
2025-07-26 13:00:00,Athens,32.6,31.2,77,13.1,1017.7,7,Stormy,🌩️,06:30:00,20:00:00
2025-07-26 14:00:00,Athens,18.1,16.0,63,20.8,1030.1,6,Sunny,☀️,06:30:00,20:00:00
2025-07-26 15:00:00,Athens,22.9,22.1,71,8.1,1028.0,10,Stormy,🌩️,06:30:00,20:00:00
2025-07-26 16:00:00,Athens,32.7,32.1,47,15.7,1009.4,1,Cloudy,☁️,06:30:00,20:00:00
2025-07-26 17:00:00,Athens,25.5,23.1,42,22.6,995.1,4,Cloudy,☁️,06:30:00,20:00:00
2025-07-26 18:00:00,Athens,32.9,32.1,42,14.1,1031.5,1,Rainy,🌧️,06:30:00,20:00:00
2025-07-26 19:00:00,Athens,33.7,32.2,55,10.8,993.3,6,Sunny,☀️,06:30:00,20:00:00
2025-07-26 20:00:00,Athens,19.2,18.3,71,24.4,990.5,8,Sunny,☀️,06:30:00,20:00:00
2025-07-26 21:00:00,Athens,24.9,24.3,59,5.0,998.3,9,Rainy,🌧️,06:30:00,20:00:00
2025-07-26 22:00:00,Athens,24.0,22.1,53,16.2,1025.1,5,Hazy,🌫️,06:30:00,20:00:00
2025-07-26 23:00:00,Athens,21.7,20.1,85,9.6,982.6,8,Snowy,❄️,06:30:00,20:00:00
2025-07-27 00:00:00,Athens,17.8,15.5,59,20.9,1008.2,5,Cloudy,☁️,06:30:00,20:00:00
2025-07-27 01:00:00,Athens,15.4,14.1,69,20.8,990.4,9,Cloudy,☁️,06:30:00,20:00:00
2025-07-27 02:00:00,Athens,24.1,22.7,87,23.2,993.6,10,Stormy,🌩️,06:30:00,20:00:00
2025-07-27 03:00:00,Athens,32.8,31.4,40,22.4,1006.2,8,Cloudy,☁️,06:30:00,20:00:00
2025-07-27 04:00:00,Athens,19.4,18.3,47,16.4,1015.6,1,Sunny,☀️,06:30:00,20:00:00
2025-07-27 05:00:00,Athens,16.7,14.6,61,5.7,1017.9,7,Sunny,☀️,06:30:00,20:00:00
2025-07-27 06:00:00,Athens,16.7,15.4,79,19.3,1030.2,3,Hazy,🌫️,06:30:00,20:00:00
2025-07-27 07:00:00,Athens,20.6,19.8,59,24.2,1031.7,7,Rainy,🌧️,06:30:00,20:00:00
2025-07-27 08:00:00,Athens,19.2,18.6,71,9.8,997.1,7,Stormy,🌩️,06:30:00,20:00:00
2025-07-27 09:00:00,Athens,30.1,29.9,48,18.0,1033.2,2,Rainy,🌧️,06:30:00,20:00:00
2025-07-27 10:00:00,Athens,30.3,28.7,49,5.1,1019.2,1,Rainy,🌧️,06:30:00,20:00:00
2025-07-27 11:00:00,Athens,23.1,22.1,67,18.7,1003.9,7,Hazy,🌫️,06:30:00,20:00:00
2025-07-27 12:00:00,Athens,27.5,26.1,65,5.0,998.5,7,Stormy,🌩️,06:30:00,20:00:00
2025-07-27 13:00:00,Athens,18.2,18.2,79,3.0,1014.6,8,Cloudy,☁️,06:30:00,20:00:00
2025-07-27 14:00:00,Athens,20.4,20.1,50,2.1,980.0,4,Cloudy,☁️,06:30:00,20:00:00
2025-07-27 15:00:00,Athens,21.7,21.1,66,19.5,1015.3,6,Rainy,🌧️,06:30:00,20:00:00
2025-07-27 16:00:00,Athens,23.8,22.9,85,9.8,988.6,2,Sunny,☀️,06:30:00,20:00:00
2025-07-27 17:00:00,Athens,29.1,28.0,44,4.5,1009.4,2,Sunny,☀️,06:30:00,20:00:00
2025-07-27 18:00:00,Athens,34.0,32.4,46,5.3,1001.0,9,Snowy,❄️,06:30:00,20:00:00
2025-07-27 19:00:00,Athens,21.3,19.9,57,21.7,1014.8,8,Rainy,🌧️,06:30:00,20:00:00
2025-07-27 20:00:00,Athens,24.8,23.4,78,10.5,1006.9,8,Snowy,❄️,06:30:00,20:00:00
2025-07-27 21:00:00,Athens,17.4,16.4,68,13.0,997.8,3,Snowy,❄️,06:30:00,20:00:00
2025-07-27 22:00:00,Athens,34.4,33.5,63,23.5,1015.4,5,Hazy,🌫️,06:30:00,20:00:00
2025-07-27 23:00:00,Athens,24.6,22.7,43,16.9,991.8,3,Hazy,🌫️,06:30:00,20:00:00
2025-07-28 00:00:00,Athens,33.3,32.7,79,2.9,1006.2,4,Hazy,🌫️,06:30:00,20:00:00
2025-07-28 01:00:00,Athens,33.4,31.2,76,6.4,988.0,3,Rainy,🌧️,06:30:00,20:00:00
2025-07-28 02:00:00,Athens,28.1,26.0,57,12.4,992.4,10,Rainy,🌧️,06:30:00,20:00:00
2025-07-28 03:00:00,Athens,32.8,30.9,72,12.4,1032.5,6,Rainy,🌧️,06:30:00,20:00:00
2025-07-28 04:00:00,Athens,34.4,32.7,55,23.8,994.4,2,Sunny,☀️,06:30:00,20:00:00
2025-07-28 05:00:00,Athens,29.0,28.4,75,17.9,995.4,2,Cloudy,☁️,06:30:00,20:00:00
2025-07-28 06:00:00,Athens,17.4,15.9,49,4.4,996.8,9,Snowy,❄️,06:30:00,20:00:00
2025-07-28 07:00:00,Athens,31.0,31.0,87,24.9,990.6,8,Hazy,🌫️,06:30:00,20:00:00
2025-07-28 08:00:00,Athens,34.7,33.8,44,22.5,1004.3,2,Cloudy,☁️,06:30:00,20:00:00
2025-07-28 09:00:00,Athens,29.2,28.2,81,4.0,1016.4,4,Snowy,❄️,06:30:00,20:00:00
2025-07-28 10:00:00,Athens,23.2,21.0,79,2.8,988.2,5,Rainy,🌧️,06:30:00,20:00:00
2025-07-28 11:00:00,Athens,34.0,32.0,63,15.8,1000.9,2,Sunny,☀️,06:30:00,20:00:00
2025-07-28 12:00:00,Athens,23.4,21.8,43,5.8,1027.7,5,Sunny,☀️,06:30:00,20:00:00
2025-07-28 13:00:00,Athens,16.8,15.3,82,24.7,989.3,5,Sunny,☀️,06:30:00,20:00:00
2025-07-28 14:00:00,Athens,21.8,20.5,76,9.2,1028.0,1,Cloudy,☁️,06:30:00,20:00:00
2025-07-28 15:00:00,Athens,34.2,34.0,51,16.8,995.5,7,Snowy,❄️,06:30:00,20:00:00
2025-07-28 16:00:00,Athens,26.0,25.0,47,16.4,1004.5,4,Stormy,🌩️,06:30:00,20:00:00
2025-07-28 17:00:00,Athens,29.3,27.4,81,19.0,1016.0,4,Rainy,🌧️,06:30:00,20:00:00
2025-07-28 18:00:00,Athens,30.4,29.6,65,22.4,991.2,8,Rainy,🌧️,06:30:00,20:00:00
2025-07-28 19:00:00,Athens,32.4,30.7,62,13.0,1023.2,2,Cloudy,☁️,06:30:00,20:00:00
2025-07-28 20:00:00,Athens,29.0,27.6,89,2.8,1014.6,8,Sunny,☀️,06:30:00,20:00:00
2025-07-28 21:00:00,Athens,24.9,24.2,54,16.4,1007.3,2,Stormy,🌩️,06:30:00,20:00:00
2025-07-28 22:00:00,Athens,17.2,16.5,80,4.4,1017.6,9,Stormy,🌩️,06:30:00,20:00:00
2025-07-28 23:00:00,Athens,15.9,13.5,42,5.7,999.5,9,Hazy,🌫️,06:30:00,20:00:00
2025-07-29 00:00:00,Athens,28.1,26.2,50,4.3,1019.2,8,Stormy,🌩️,06:30:00,20:00:00
2025-07-29 01:00:00,Athens,22.8,22.2,65,18.3,1010.1,2,Cloudy,☁️,06:30:00,20:00:00
2025-07-29 02:00:00,Athens,22.5,22.3,74,15.7,991.0,8,Stormy,🌩️,06:30:00,20:00:00
2025-07-29 03:00:00,Athens,26.9,25.9,43,7.0,994.3,8,Snowy,❄️,06:30:00,20:00:00
2025-07-29 04:00:00,Athens,21.0,19.7,44,22.8,1011.7,3,Snowy,❄️,06:30:00,20:00:00
2025-07-29 05:00:00,Athens,19.8,18.1,54,5.0,1000.8,6,Cloudy,☁️,06:30:00,20:00:00
2025-07-29 06:00:00,Athens,19.2,16.8,52,24.5,980.7,3,Hazy,🌫️,06:30:00,20:00:00
2025-07-29 07:00:00,Athens,22.8,20.4,81,5.6,1028.0,5,Snowy,❄️,06:30:00,20:00:00
2025-07-29 08:00:00,Athens,26.6,24.6,62,4.9,1029.5,10,Rainy,🌧️,06:30:00,20:00:00
2025-07-29 09:00:00,Athens,23.6,23.1,64,20.1,985.5,10,Hazy,🌫️,06:30:00,20:00:00
2025-07-29 10:00:00,Athens,30.9,30.8,85,4.1,986.1,3,Sunny,☀️,06:30:00,20:00:00
2025-07-29 11:00:00,Athens,28.6,27.2,55,13.4,1034.8,5,Sunny,☀️,06:30:00,20:00:00
2025-07-29 12:00:00,Athens,15.9,15.7,76,17.3,1003.9,6,Sunny,☀️,06:30:00,20:00:00
2025-07-29 13:00:00,Athens,24.1,23.9,50,20.7,993.4,6,Stormy,🌩️,06:30:00,20:00:00
2025-07-29 14:00:00,Athens,33.3,31.0,54,17.9,987.2,2,Sunny,☀️,06:30:00,20:00:00
2025-07-29 15:00:00,Athens,34.1,32.7,79,13.4,989.7,3,Rainy,🌧️,06:30:00,20:00:00
2025-07-29 16:00:00,Athens,21.2,20.5,41,3.2,1026.3,4,Sunny,☀️,06:30:00,20:00:00
2025-07-29 17:00:00,Athens,18.2,16.4,73,4.5,994.7,1,Hazy,🌫️,06:30:00,20:00:00
2025-07-29 18:00:00,Athens,28.1,25.8,86,20.6,1012.9,3,Stormy,🌩️,06:30:00,20:00:00
2025-07-29 19:00:00,Athens,29.7,27.7,79,3.3,1033.1,6,Stormy,🌩️,06:30:00,20:00:00
2025-07-29 20:00:00,Athens,31.4,29.7,84,24.1,1010.1,10,Snowy,❄️,06:30:00,20:00:00
2025-07-29 21:00:00,Athens,21.1,20.3,86,16.0,1001.1,10,Cloudy,☁️,06:30:00,20:00:00
2025-07-29 22:00:00,Athens,31.9,30.2,72,11.6,1024.0,1,Sunny,☀️,06:30:00,20:00:00
2025-07-29 23:00:00,Athens,16.3,15.4,85,11.7,1014.7,7,Sunny,☀️,06:30:00,20:00:00
2025-07-23 00:00:00,Lagos,34.7,33.2,79,12.6,1016.6,5,Sunny,☀️,06:30:00,20:00:00
2025-07-23 01:00:00,Lagos,27.1,25.3,84,3.5,1014.0,1,Sunny,☀️,06:30:00,20:00:00
2025-07-23 02:00:00,Lagos,20.5,18.2,54,14.7,1021.1,7,Snowy,❄️,06:30:00,20:00:00
2025-07-23 03:00:00,Lagos,18.0,16.8,49,5.9,1025.8,1,Rainy,🌧️,06:30:00,20:00:00
2025-07-23 04:00:00,Lagos,15.9,15.3,71,4.2,1021.2,7,Stormy,🌩️,06:30:00,20:00:00
2025-07-23 05:00:00,Lagos,24.5,23.5,88,12.6,1014.7,1,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 06:00:00,Lagos,29.8,27.4,88,9.5,1018.4,5,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 07:00:00,Lagos,31.9,30.3,52,18.5,989.8,8,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 08:00:00,Lagos,22.4,22.1,59,22.6,1024.0,8,Stormy,🌩️,06:30:00,20:00:00
2025-07-23 09:00:00,Lagos,18.8,16.7,42,5.8,1009.4,9,Rainy,🌧️,06:30:00,20:00:00
2025-07-23 10:00:00,Lagos,29.3,26.8,85,21.4,1000.6,6,Sunny,☀️,06:30:00,20:00:00
2025-07-23 11:00:00,Lagos,30.4,30.1,89,21.0,1013.9,8,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 12:00:00,Lagos,30.6,28.8,41,10.2,1032.1,1,Stormy,🌩️,06:30:00,20:00:00
2025-07-23 13:00:00,Lagos,30.9,29.5,85,11.8,1013.6,2,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 14:00:00,Lagos,25.7,24.9,81,12.2,981.2,7,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 15:00:00,Lagos,33.0,30.7,43,24.0,991.6,7,Sunny,☀️,06:30:00,20:00:00
2025-07-23 16:00:00,Lagos,30.0,28.0,74,8.8,981.9,7,Snowy,❄️,06:30:00,20:00:00
2025-07-23 17:00:00,Lagos,17.4,15.0,76,23.5,1032.0,10,Sunny,☀️,06:30:00,20:00:00
2025-07-23 18:00:00,Lagos,23.4,22.2,73,17.8,1031.2,5,Cloudy,☁️,06:30:00,20:00:00
2025-07-23 19:00:00,Lagos,32.8,32.4,84,11.0,981.5,9,Rainy,🌧️,06:30:00,20:00:00
2025-07-23 20:00:00,Lagos,20.7,18.4,50,3.7,1025.7,8,Hazy,🌫️,06:30:00,20:00:00
2025-07-23 21:00:00,Lagos,28.3,26.0,46,2.1,991.9,6,Stormy,🌩️,06:30:00,20:00:00
2025-07-23 22:00:00,Lagos,25.5,24.1,69,13.5,1030.5,9,Sunny,☀️,06:30:00,20:00:00
2025-07-23 23:00:00,Lagos,24.9,23.5,57,13.4,1012.5,10,Snowy,❄️,06:30:00,20:00:00
2025-07-24 00:00:00,Lagos,28.5,27.5,57,10.5,1026.5,9,Cloudy,☁️,06:30:00,20:00:00
2025-07-24 01:00:00,Lagos,22.2,22.2,40,23.2,1024.5,10,Sunny,☀️,06:30:00,20:00:00
2025-07-24 02:00:00,Lagos,31.1,28.9,88,11.9,1013.0,7,Sunny,☀️,06:30:00,20:00:00
2025-07-24 03:00:00,Lagos,21.7,20.6,90,8.0,984.0,1,Sunny,☀️,06:30:00,20:00:00
2025-07-24 04:00:00,Lagos,33.2,31.6,87,21.7,1006.9,7,Rainy,🌧️,06:30:00,20:00:00
2025-07-24 05:00:00,Lagos,19.7,17.5,80,13.6,1010.0,9,Sunny,☀️,06:30:00,20:00:00
2025-07-24 06:00:00,Lagos,34.8,32.6,61,19.0,1019.2,9,Rainy,🌧️,06:30:00,20:00:00
2025-07-24 07:00:00,Lagos,25.8,24.7,56,16.4,1005.0,3,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 08:00:00,Lagos,25.9,24.9,69,6.3,1033.8,7,Snowy,❄️,06:30:00,20:00:00
2025-07-24 09:00:00,Lagos,25.9,23.9,81,9.7,1031.0,3,Snowy,❄️,06:30:00,20:00:00
2025-07-24 10:00:00,Lagos,23.0,22.1,51,22.4,1023.6,2,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 11:00:00,Lagos,31.6,29.5,44,13.7,1031.0,7,Hazy,🌫️,06:30:00,20:00:00
2025-07-24 12:00:00,Lagos,27.2,25.7,77,10.5,1034.0,1,Sunny,☀️,06:30:00,20:00:00
2025-07-24 13:00:00,Lagos,28.2,27.5,75,14.2,1022.4,4,Cloudy,☁️,06:30:00,20:00:00
2025-07-24 14:00:00,Lagos,27.5,25.8,87,23.6,1024.9,2,Sunny,☀️,06:30:00,20:00:00
2025-07-24 15:00:00,Lagos,33.1,31.5,90,5.1,989.2,7,Hazy,🌫️,06:30:00,20:00:00
2025-07-24 16:00:00,Lagos,26.1,24.9,40,8.8,986.3,5,Hazy,🌫️,06:30:00,20:00:00
2025-07-24 17:00:00,Lagos,25.5,23.7,65,3.3,1002.4,5,Rainy,🌧️,06:30:00,20:00:00
2025-07-24 18:00:00,Lagos,16.4,16.2,80,14.1,1007.2,5,Sunny,☀️,06:30:00,20:00:00
2025-07-24 19:00:00,Lagos,23.8,21.5,67,21.0,1033.9,5,Hazy,🌫️,06:30:00,20:00:00
2025-07-24 20:00:00,Lagos,25.8,25.6,86,8.0,988.5,5,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 21:00:00,Lagos,33.4,31.0,80,4.0,983.9,8,Stormy,🌩️,06:30:00,20:00:00
2025-07-24 22:00:00,Lagos,18.4,17.5,49,7.9,1010.4,10,Snowy,❄️,06:30:00,20:00:00
2025-07-24 23:00:00,Lagos,22.7,20.4,78,19.9,1015.3,8,Rainy,🌧️,06:30:00,20:00:00
2025-07-25 00:00:00,Lagos,31.6,29.7,41,19.1,1001.5,4,Snowy,❄️,06:30:00,20:00:00
2025-07-25 01:00:00,Lagos,21.1,19.3,47,10.5,1032.1,10,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 02:00:00,Lagos,26.1,24.6,56,2.4,1000.1,3,Cloudy,☁️,06:30:00,20:00:00
2025-07-25 03:00:00,Lagos,34.4,32.6,74,16.5,994.8,1,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 04:00:00,Lagos,23.2,23.0,44,7.3,1009.5,4,Cloudy,☁️,06:30:00,20:00:00
2025-07-25 05:00:00,Lagos,27.5,27.3,71,24.5,995.7,7,Snowy,❄️,06:30:00,20:00:00
2025-07-25 06:00:00,Lagos,28.4,27.5,87,23.1,1012.1,5,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 07:00:00,Lagos,21.4,20.2,59,19.9,1020.6,7,Snowy,❄️,06:30:00,20:00:00
2025-07-25 08:00:00,Lagos,21.7,20.6,80,5.0,1024.3,2,Cloudy,☁️,06:30:00,20:00:00
2025-07-25 09:00:00,Lagos,25.0,24.4,45,19.8,984.7,6,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 10:00:00,Lagos,32.5,30.3,63,4.9,982.1,4,Cloudy,☁️,06:30:00,20:00:00
2025-07-25 11:00:00,Lagos,16.9,16.5,90,16.2,997.9,4,Snowy,❄️,06:30:00,20:00:00
2025-07-25 12:00:00,Lagos,30.0,29.1,61,6.0,1012.7,10,Cloudy,☁️,06:30:00,20:00:00
2025-07-25 13:00:00,Lagos,27.3,25.7,47,23.2,983.6,8,Sunny,☀️,06:30:00,20:00:00
2025-07-25 14:00:00,Lagos,29.8,28.8,84,11.1,1017.6,3,Stormy,🌩️,06:30:00,20:00:00
2025-07-25 15:00:00,Lagos,23.5,21.2,72,23.7,1021.6,1,Stormy,🌩️,06:30:00,20:00:00
